Name,CAS No.,Chilles,High Body Temp,Low Body Temp,Shivering,Agitation,Dizziness,drowsiness,"fatigue/
weakness",Headaches,Lack of coordination,Lower Mentatl State,"Numbness/
tingling",Paralysis,Slurred Speech,"Spasm/
seizures",unresponsive,Hearing Loss,Tinnitus,Constricted Pupils,Dilated Pupils,"Eye irritation/
redness",Eye Swelling,Impaired Vision,Light Sensitivity,Tearing,Vision Loss,Bloddy Nose,Nosal Irritation,Runny nose,Sneezing,"Coughing/
chocking","Drooling/
Salivation","Dry mouth/
throat",Mouth irritation,Throat irritation,Arrythmia,Bradycardia,Chest pain,Hypertension,Hypotension/Shock,"Hypoxia/
Cyanosis",Tachycardia,Chest Discomfort,Congestion,"Coughing/
Chocking",Coughing Blood,"Hypoxia/
cyanosis",Irregular Breathing,Pulmonary Edema,Rapid Breathing,"Resp burning/
irritation",Respiratory Arrest,Shortness of Breathing,Slow Breathing,Sneezing,Wheezing,Abdom. Discomfort,Abdom. Distension,Diarrhea,Nausea,Urinary incontinence,"Urinary pain/
burning","Urination, bloody",Vomiting,Vomiting Blood,Blistering,"Cyanosis/
blue",Dry skin,Frostbite,itching,"Jaundice/
yellow","Numbness/
tingling",Pale,"Peeling/
exfoliation",Rash,"Skin burns/
burning",Skin redness,Skin sweling,Sweating
(L)-Ephedrine,299-42-3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1,1,1,2-Tetrafluoroethane",811-97-2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1,1,1-Trichloroethane",71-55-6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0
"1,1,2,2-Tetrachloroethane",79-34-5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0
"1,1-Dichloroethane",75-34-3,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"1,1-Dichloroethylene",75-35-4,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"1,1-Difluoroethane",75-37-6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
"1,1-Difluoroethene",75-38-7,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
"1,1-Dimethylhydrazine",57-14-7,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
"1,2,4,5-Tetrachlorobenzene",95-94-3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"1,2-Dibromo-3-chloropropane",96-12-8,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1,2-Dichloroethane",107-06-2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"1,2-Dichloroethylene",540-59-0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0
